Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kevin Durant,BKN,33,16,11,5,555,457,169,298,56.7,32,75,42.7,87,103,84.5,7,119,126,78,48,8,8,18,725.2,6,1,50
Stephen Curry,GSW,33,15,13,2,505,442,144,311,46.3,85,203,41.9,69,72,95.8,10,82,92,98,48,26,10,28,759.4,5,1,205
Paul George,LAC,31,15,9,6,522,401,146,325,44.9,47,130,36.2,62,69,89.9,9,111,120,77,63,31,7,37,711.5,5,0,38
Trae Young,ATL,23,16,7,9,546,401,141,316,44.6,39,106,36.8,80,89,89.9,9,47,56,147,65,14,2,29,671.7,7,0,3
DeMar DeRozan,CHI,32,15,10,5,531,399,141,282,50,14,40,35,103,118,87.3,12,68,80,63,32,13,8,35,620.5,1,0,125
Zach LaVine,CHI,26,15,10,5,528,393,143,291,49.1,44,110,40,63,72,87.5,7,78,85,55,44,7,5,23,569.5,0,0,42
Giannis Antetokounmpo,MIL,26,14,7,7,465,392,141,274,51.5,20,65,30.8,90,132,68.2,26,130,156,81,43,15,23,42,771.7,8,0,66
Ja Morant,MEM,22,15,8,7,513,390,150,299,50.2,28,73,38.4,62,80,77.5,18,77,95,107,52,24,4,21,696.5,4,0,-35
Anthony Davis,LAL,28,16,8,8,554,381,152,295,51.5,6,31,19.4,71,93,76.3,56,117,173,47,37,18,33,36,775.1,8,0,-64
Nikola Jokic,DEN,26,14,8,6,454,369,144,243,59.3,25,61,41,56,75,74.7,38,152,190,89,45,17,13,41,775.5,11,2,120
Jayson Tatum,BOS,23,15,7,8,560,363,132,333,39.6,41,126,32.5,58,75,77.3,17,110,127,53,42,13,14,40,633.9,5,0,46
Karl-Anthony Towns,MIN,26,15,6,9,533,348,122,241,50.6,46,100,46,58,68,85.3,43,100,143,52,54,21,17,49,657.6,8,0,14
Donovan Mitchell,UTA,25,14,9,5,447,340,125,285,43.9,43,135,31.9,47,54,87,14,45,59,65,40,28,3,39,561.3,0,0,113
Miles Bridges,CHA,23,16,9,7,586,340,124,274,45.3,39,116,33.6,53,71,74.6,23,97,120,57,28,25,14,41,658.5,2,0,68
Anthony Edwards,MIN,20,15,6,9,545,337,127,302,42.1,45,134,33.6,38,51,74.5,27,72,99,52,53,20,11,38,573.8,2,0,9
CJ McCollum,POR,30,16,8,8,561,328,126,296,42.6,53,135,39.3,23,31,74.2,16,50,66,69,31,17,13,32,569.7,0,0,-4
Tyler Herro,MIA,21,15,10,5,507,325,124,273,45.4,42,108,38.9,35,40,87.5,11,72,83,59,41,8,0,21,496.1,1,0,91
James Harden,BKN,32,16,11,5,550,324,95,220,43.2,47,119,39.5,87,99,87.9,15,106,121,141,79,19,12,36,694.7,8,3,23
Luka Doncic,DAL,22,13,9,4,452,324,121,279,43.4,32,104,30.8,50,74,67.6,9,99,108,103,54,17,8,29,629.1,8,1,-86
Jimmy Butler,MIA,32,13,9,4,434,323,109,204,53.4,6,20,30,99,115,86.1,22,51,73,71,25,27,5,23,588.1,3,1,67
Devin Booker,PHX,25,14,11,3,462,322,118,269,43.9,31,84,36.9,55,66,83.3,14,73,87,71,37,15,3,35,549.9,0,0,92
Russell Westbrook,LAL,33,16,8,8,568,310,118,276,42.8,21,70,30,53,77,68.8,21,114,135,140,83,21,3,51,671,8,3,-67
Damian Lillard,POR,31,15,8,7,537,306,111,289,38.4,39,138,28.3,45,52,86.5,6,58,64,123,39,11,4,22,573.3,5,0,33
Harrison Barnes,SAC,29,15,6,9,539,306,94,193,48.7,34,80,42.5,84,97,86.6,24,95,119,34,28,16,2,19,525.8,4,0,-33
De'Aaron Fox,SAC,23,15,6,9,530,305,114,273,41.8,17,70,24.3,60,84,71.4,11,43,54,93,47,21,8,46,549.3,1,0,-23
Jonas Valanciunas,NOP,29,16,2,14,537,304,114,223,51.1,16,29,55.2,60,69,87,51,155,206,41,33,10,16,54,657.7,11,0,-73
OG Anunoby,TOR,24,15,7,8,560,302,114,265,43,41,112,36.6,33,40,82.5,24,57,81,41,25,23,9,41,531.7,1,0,0
LaMelo Ball,CHA,20,16,9,7,520,301,112,269,41.6,43,113,38.1,34,37,91.9,23,96,119,120,48,33,6,53,692.8,4,1,43
Cole Anthony,ORL,21,15,4,11,513,298,101,240,42.1,44,118,37.3,52,60,86.7,9,94,103,85,46,18,4,38,569.1,4,0,-4
Julius Randle,NYK,26,15,8,7,531,297,105,255,41.2,33,94,35.1,54,72,75,27,123,150,75,49,10,13,41,609.5,8,0,-67
Fred VanVleet,TOR,27,15,7,8,577,296,106,244,43.4,47,117,40.2,37,44,84.1,12,64,76,103,43,25,9,31,600.7,2,0,34
Shai Gilgeous-Alexander,OKC,23,14,6,8,488,296,103,246,41.9,31,94,33,59,71,83.1,9,63,72,64,37,16,7,29,510.4,0,0,-54
Domantas Sabonis,IND,25,16,6,10,575,292,117,203,57.6,14,47,29.8,44,64,68.8,49,135,184,59,50,20,6,53,629.3,11,0,17
Bradley Beal,WAS,28,12,7,5,431,287,108,254,42.5,24,83,28.9,47,49,95.9,8,56,64,68,48,15,5,24,477.8,1,0,14
Tyrese Maxey,PHI,21,16,9,7,571,284,112,214,52.3,23,53,43.4,37,44,84.1,6,54,60,70,21,12,10,36,506,0,0,29
Gordon Hayward,CHA,31,16,9,7,555,282,102,218,46.8,32,75,42.7,46,53,86.8,11,68,79,56,35,10,5,28,470.8,1,0,-19
John Collins,ATL,24,16,7,9,509,274,108,189,57.1,17,44,38.6,41,54,75.9,31,100,131,34,17,13,15,46,549.2,5,0,34
Gary Trent Jr.,TOR,22,16,7,9,552,273,104,233,44.6,40,111,36,25,28,89.3,9,44,53,27,17,38,6,33,492.1,0,0,0
Dejounte Murray,SAS,25,15,4,11,517,272,115,258,44.6,18,58,31,24,35,68.6,11,111,122,117,36,30,7,31,668.9,5,2,8
